#{"t_start": 1732626229.9630568, "env_id": "MRL_env-v0"}
r,l,t
-994.0,84,7.498648
212.9,67,13.937942
260.9,90,23.636328
704.6,71,30.624253
225.3,84,39.127653
416.2,77,46.924291
198.4,100,56.820679
102.6,73,63.572759
351.1,93,72.371562
225.0,54,77.251595
520.6,59,82.758158
449.0,63,88.378549
442.5,73,94.319788
180.9,86,101.477695
332.3,70,107.015093
221.9,86,114.131235
325.7,76,120.332161
551.4,78,126.947334
491.9,82,134.229889
-55.1,97,142.975521
610.3,74,149.97078
-936.5,65,156.92786
-707.5,44,161.264741
48.4,81,169.60833
-29.6,71,176.626286
556.4,76,184.668624
612.4,72,192.426446
298.5,85,201.658371
630.5,63,208.172829
651.0,59,214.608801
208.9,85,224.422162
265.8,67,231.857613
-175.8,98,242.806574
133.4,88,251.930574
186.1,95,261.88293
160.5,88,270.897398
279.3,82,279.499106
214.4,69,286.788711
215.4,80,294.774756
249.4,74,301.487175
384.7,89,309.876005
-840.5,28,312.534192
30.4,84,321.117268
-1303.0,105,332.201891
-527.0,36,335.602772
547.5,72,342.986271
35.0,98,352.748947
345.4,67,358.754038
449.2,87,367.108215
-823.0,110,378.618488
7.5,106,390.167232
186.9,104,400.634363
585.0,72,407.424821
-57.8,98,417.182717
189.1,73,424.583186
463.5,76,432.395885
533.6,88,441.346737
-1050.0,107,452.784595
279.7,85,461.637501
437.6,75,469.160702
494.8,71,476.198532
546.0,70,481.448034
611.9,104,489.215853
347.5,68,494.216331
666.4,81,501.205644
497.7,89,508.826826
48.0,93,516.811082
317.6,80,523.905176
-876.5,33,526.98816
257.9,73,533.533016
541.4,78,540.702178
631.3,50,545.36221
129.9,91,554.01862
478.7,76,560.299861
415.6,81,566.901197
358.3,68,572.531126
638.0,67,579.526713
130.4,96,590.212787
-36.9,89,599.866809
484.9,68,606.864655
366.7,58,612.170751
-552.0,62,618.275506
-54.1,103,628.246257
303.9,70,635.151803
171.5,97,645.197244
389.9,77,652.791932
587.6,84,661.333256
229.4,78,669.168654
693.5,91,678.493355
795.4,92,687.836543
-726.0,97,698.523734
2.9,85,707.939771
508.0,71,715.859022
538.6,78,724.453138
355.6,87,734.37567
551.4,89,744.354045
152.5,98,754.833789
270.3,63,760.848604
-1057.0,109,772.024422
247.9,79,780.026511
696.7,73,787.697972
542.2,84,796.432576
357.3,63,802.718457
-808.0,108,814.568474
151.1,69,821.93059
615.5,81,830.462117
454.2,70,837.793447
274.6,86,846.576748
372.8,80,854.491233
548.6,71,861.446876
253.5,105,872.536333
175.8,81,880.950206
106.5,78,888.967859
583.4,89,898.134799
297.9,78,906.179747
204.9,94,916.012
408.3,78,924.512952
269.5,73,932.426957
-763.5,89,942.038755
-520.0,34,945.269882
289.8,82,954.014304
-38.6,92,963.953748
537.2,71,971.304616
-1063.0,59,977.399035
-809.5,54,982.974324
772.6,71,989.709297
-1009.5,36,993.58767
-262.1,95,1003.662853
497.2,72,1011.418198
559.0,57,1017.120053
364.5,64,1023.585859
119.3,74,1031.061057
-685.5,31,1034.097948
-1003.0,107,1045.329087
684.6,58,1051.147222
402.4,83,1060.227316
220.9,75,1068.264205
328.2,86,1077.489576
213.9,76,1085.605007
217.6,78,1094.292745
315.7,60,1100.578708
-1008.0,74,1108.675166
314.7,76,1116.368225
381.8,74,1123.818958
726.4,64,1129.864102
-75.9,103,1140.48228
-174.1,96,1149.908954
-1079.0,111,1161.445112
304.0,90,1171.152152
571.4,72,1178.682195
-1001.5,31,1181.891679
498.4,86,1190.936382
272.8,76,1198.873867
489.9,68,1205.648625
-70.7,107,1216.523234
123.1,93,1226.138735
586.6,80,1233.974581
363.4,70,1240.846124
191.5,98,1251.118944
312.2,98,1261.339539
385.6,62,1267.069813
220.8,101,1274.732069
-840.5,52,1278.884927
264.8,76,1285.998534
228.9,86,1293.317238
222.1,87,1300.330618
531.4,86,1307.193782
21.5,84,1314.207792
-742.0,60,1320.186154
-594.5,55,1325.617648
308.8,56,1330.778066
94.5,92,1340.600081
413.8,63,1346.954678
320.5,99,1357.119723
336.4,89,1366.396128
949.4,94,1376.381508
532.2,73,1383.893193
395.5,95,1393.64004
-1003.5,39,1397.952168
93.4,102,1408.725672
343.3,103,1420.408977
275.0,91,1430.49761
620.2,71,1438.29938
396.0,106,1450.248925
338.2,98,1461.454015
-910.0,108,1473.299856
90.0,102,1483.782896
288.5,83,1492.106534
384.2,72,1499.465452
-873.5,33,1502.953614
-997.0,110,1514.363858
241.0,94,1524.679672
444.4,54,1529.821807
338.5,76,1537.664974
-710.0,59,1544.131511
421.4,88,1553.480279
244.8,93,1562.800682
251.5,70,1569.746532
266.6,81,1577.837486
-806.0,67,1584.932684
298.9,80,1593.148676
201.4,104,1603.825847
327.5,90,1613.263431
42.4,89,1622.725591
146.3,81,1631.023272
-940.0,107,1642.85671
-829.0,38,1647.01437
268.6,70,1654.513568
391.9,78,1663.050055
202.7,85,1672.670395
492.8,63,1679.462737
119.9,87,1688.526773
300.0,73,1696.028718
403.4,80,1704.143339
24.1,97,1714.069148
564.0,98,1723.395007
-504.5,76,1730.285705
567.8,73,1736.576849
203.2,73,1742.699784
643.6,65,1748.304539
51.1,106,1758.112477
-966.5,54,1763.064762
144.2,77,1769.851526
296.0,78,1776.016496
-1549.0,106,1786.077953
389.7,78,1792.687131
361.6,75,1799.58333
654.5,51,1803.577616
-778.0,53,1808.35279
69.5,91,1816.914549
310.3,88,1824.714857
850.8,77,1830.821871
-800.0,47,1835.236375
-85.1,100,1844.931023
-56.3,84,1851.798741
574.0,73,1856.917288
280.5,64,1862.245705
291.7,88,1870.349516
-749.5,44,1874.930997
24.9,93,1883.524897
-99.5,99,1894.265787
139.7,93,1904.176564
153.5,74,1911.804568
-1079.0,108,1923.391867
323.3,69,1930.094741
376.4,86,1938.35035
308.4,80,1946.294813
300.8,76,1953.839174
-933.0,69,1961.020881
69.2,73,1968.368155
236.2,79,1976.293592
44.2,83,1984.614317
492.2,80,1992.76338
-24.2,107,2003.798755
196.4,77,2011.469987
-471.0,63,2018.465675
252.8,91,2028.401408
480.7,62,2034.619864
388.5,80,2043.118331
-791.0,28,2045.996224
262.8,63,2052.227906
-866.0,108,2063.713765
408.0,76,2071.439276
362.0,85,2080.445833
-757.5,31,2083.697546
436.9,77,2092.008884
535.1,73,2099.293382
-894.5,84,2108.323557
349.2,86,2117.20905
162.9,74,2124.871397
348.7,83,2134.229597
438.5,60,2140.721924
294.5,78,2149.197884
215.4,59,2155.820815
-768.5,53,2161.290678
311.2,95,2171.872376
2.3,81,2180.883308
-583.5,93,2190.995975
388.5,82,2199.26708
379.9,92,2208.722229
597.7,83,2216.963329
255.5,90,2226.414643
303.3,78,2234.545054
282.6,92,2244.592693
318.3,83,2253.432102
482.7,69,2260.675061
503.5,85,2269.433321
-971.0,39,2273.610509
718.2,64,2280.051836
335.0,79,2288.113774
464.8,81,2296.362758
