-50,11.72031076581576,35.04994450610433,53.22974472807991
-40,12.888938102092792,34.431402945410255,52.67965895249696
-30,12.916251797765241,34.56687686691006,52.5168713353247
-20,13.272747061384415,33.799521114497175,52.92773182411842
-10,14.400490989231713,33.70529487251018,51.8942141382581
10,19.632965926257484,30.9013595926817,49.465674481060816
20,22.65174441843202,29.61228801461771,47.735967566950265
30,26.012198663955854,27.7200116177752,46.26778971826895
40,28.970836346107497,26.651000241021933,44.37816341287057
50,31.28691717984165,25.63151941686565,43.0815634032927
60,34.12909503730133,24.832954914044763,41.03795004865391
70,35.365613297418044,23.927468628868013,40.70691807371395
80,36.423664376709134,23.697725605282464,39.8786100180084
90,36.97608812466416,23.582751209027407,39.44116066630844
