#{"t_start": 1732195546.175727, "env_id": "p1_Env-v0"}
r,l,t
-17.0,44,1.709973
-488.0,11,1.744971
54.0,27,1.813271
-11.0,12,1.846274
-6.0,32,1.934321
-8.0,21,1.993325
-16.0,22,2.051494
-12.0,10,2.079495
-6.0,27,2.151462
2.0,1,2.153461
-22.0,39,2.258702
-56.0,47,2.389817
-3.0,11,2.424925
42.0,21,2.482139
-6.0,17,2.528651
-486.0,7,2.547652
-33.0,21,2.601653
25.0,5,2.617692
84.0,27,2.683694
-9.0,23,2.745957
-91.0,52,2.876472
-97.0,66,3.044065
37.0,11,3.077065
17.0,26,3.150297
-494.0,3,3.159297
-4.0,18,3.207324
-34.0,53,3.363984
1.0,5,3.382147
-11.0,22,3.447856
-494.0,3,3.455857
77.0,11,3.485857
-498.0,6,3.501859
30.0,15,3.540369
-497.0,9,3.565367
-27.0,44,3.692662
19.0,7,3.711798
-490.0,5,3.7258
37.0,11,3.7558
20.0,15,3.795941
-144.0,68,3.97402
26.0,23,4.033106
-83.0,51,4.169611
-24.0,18,4.22212
20.0,15,4.267121
7.0,6,4.286119
8.0,39,4.385624
-5.0,15,4.432141
93.0,34,4.507143
-21.0,32,4.587171
28.0,9,4.613259
-6.0,27,4.683259
-3.0,1,4.685258
79.0,22,4.747293
-24.0,28,4.822341
16.0,23,4.885341
-13.0,41,5.001837
-496.0,2,5.007341
35.0,25,5.078345
3.0,24,5.146483
-11.0,27,5.217646
-123.0,76,5.4086
-488.0,6,5.427601
13.0,9,5.455599
62.0,21,5.513593
26.0,18,5.567594
-59.0,49,5.692613
105.0,5,5.709742
-502.0,4,5.72074
-65.0,35,5.818782
-26.0,32,5.902784
24.0,2,5.910989
54.0,27,5.992988
31.0,23,6.053037
-497.0,19,6.103039
7.0,21,6.165068
96.0,18,6.21658
-37.0,24,6.27758
19.0,17,6.321242
43.0,24,6.386388
10.0,10,6.414496
10.0,15,6.454496
-1.0,17,6.4975
58.0,19,6.54912
-4.0,12,6.585351
102.0,1,6.588349
15.0,35,6.679369
22.0,1,6.682368
3.0,14,6.718625
45.0,40,6.833653
-37.0,29,6.910697
100.0,25,6.979697
-16.0,57,7.13288
9.0,7,7.15488
-77.0,49,7.296397
-95.0,60,7.494934
77.0,11,7.530077
-45.0,50,7.666586
-498.0,1,7.669586
-12.0,11,7.699589
-492.0,4,7.711098
-496.0,2,7.718099
-14.0,33,7.808101
17.0,11,7.835608
-22.0,19,7.886145
26.0,13,7.924313
-496.0,2,7.932313
22.0,11,7.962312
-495.0,5,7.978313
98.0,29,8.055344
-18.0,31,8.143453
-484.0,8,8.171452
74.0,22,8.234571
25.0,25,8.299574
-12.0,24,8.3704
-30.0,40,8.475503
-47.0,24,8.540015
30.0,5,8.557014
3.0,34,8.647525
-495.0,5,8.660525
-522.0,14,8.70353
-482.0,9,8.730038
-498.0,1,8.733036
-62.0,39,8.83655
32.0,31,8.921585
-38.0,56,9.07284
-484.0,8,9.09384
27.0,21,9.149945
-1.0,27,9.222057
45.0,5,9.234057
24.0,12,9.268057
-494.0,3,9.280056
9.0,17,9.326823
-136.0,67,9.499587
-496.0,2,9.506587
-11.0,17,9.566097
-88.0,63,9.767705
-496.0,7,9.793705
-44.0,28,9.86872
28.0,24,9.942796
38.0,19,9.995794
-592.0,59,10.149725
0.0,15,10.206732
21.0,13,10.239761
-76.0,62,10.389889
76.0,8,10.409193
98.0,9,10.4387
30.0,45,10.56621
36.0,28,10.653758
-482.0,9,10.681756
84.0,2,10.686756
39.0,17,10.733836
-13.0,26,10.801838
-18.0,28,10.879872
-51.0,52,11.015842
-84.0,63,11.209725
2.0,1,11.213869
3.0,9,11.240868
43.0,19,11.294869
43.0,19,11.345378
41.0,3,11.355379
-7.0,29,11.43689
15.0,30,11.526555
-7.0,54,11.669065
16.0,33,11.775455
-498.0,1,11.777456
21.0,28,11.873024
-9.0,13,11.919058
32.0,26,11.988569
1.0,8,12.015078
-30.0,35,12.111583
56.0,13,12.157588
20.0,10,12.186587
-572.0,49,12.337168
21.0,8,12.365167
1.0,13,12.405169
-490.0,5,12.417677
-38.0,56,12.595187
6.0,13,12.640241
-94.0,43,12.751385
6.0,33,12.852464
-498.0,1,12.855463
2.0,1,12.858463
-9.0,20,12.916564
-74.0,38,13.024635
-8.0,11,13.059634
-11.0,27,13.135722
-21.0,42,13.249848
18.0,14,13.287848
94.0,17,13.337355
35.0,35,13.452939
-15.0,10,13.48594
30.0,25,13.552069
32.0,16,13.59707
-107.0,64,13.778542
27.0,21,13.85205
-56.0,52,14.001561
-496.0,2,14.006562
-488.0,6,14.030069
-501.0,7,14.05207
-76.0,36,14.137866
-497.0,4,14.147866
67.0,21,14.21597
20.0,10,14.240969
-9.0,28,14.332556
7.0,6,14.353554
14.0,27,14.459634
-11.0,7,14.483636
-498.0,1,14.486634
-20.0,40,14.609149
15.0,10,14.642479
18.0,11,14.683478
-17.0,19,14.744153
-500.0,5,14.764153
25.0,20,14.827667
26.0,18,14.870667
-27.0,19,14.915178
7.0,13,14.949178
66.0,38,15.047415
43.0,24,15.113178
5.0,5,15.127181
27.0,21,15.187181
-10.0,15,15.234616
-4.0,8,15.258616
17.0,31,15.344214
93.0,9,15.369217
-71.0,32,15.470297
67.0,21,15.544351
15.0,15,15.592351
-490.0,10,15.623863
-134.0,58,15.807375
-501.0,17,15.87012
-36.0,42,16.007632
64.0,42,16.137672
8.0,24,16.216902
-73.0,32,16.320958
91.0,23,16.396958
-495.0,5,16.413961
4.0,33,16.514198
35.0,25,16.574298
-60.0,40,16.690138
-13.0,11,16.717162
15.0,10,16.745163
5.0,25,16.815195
-5.0,15,16.856194
-489.0,8,16.875196
-494.0,3,16.884195
-496.0,7,16.904199
68.0,14,16.945706
-10.0,25,17.01722
-5.0,40,17.134338
-491.0,7,17.154338
48.0,29,17.253154
-44.0,63,17.434219
2.0,11,17.463218
8.0,29,17.541732
-494.0,3,17.549731
-498.0,1,17.552732
14.0,12,17.591732
-84.0,63,17.77819
-498.0,1,17.78119
54.0,57,17.952171
-59.0,73,18.174059
90.0,20,18.23757
71.0,18,18.324652
3.0,19,18.373651
36.0,13,18.407654
50.0,5,18.425696
15.0,30,18.5057
13.0,19,18.558805
65.0,10,18.587071
-39.0,20,18.639581
9.0,17,18.687583
-150.0,74,18.898061
-126.0,62,19.071661
49.0,27,19.151681
-57.0,45,19.283774
-17.0,24,19.358777
-21.0,17,19.40778
-37.0,34,19.496288
92.0,26,19.568797
-3.0,31,19.656825
6.0,3,19.663825
35.0,35,19.766339
12.0,41,19.873853
-496.0,2,19.880853
1.0,3,19.892853
-489.0,8,19.919882
5.0,20,19.985277
7.0,21,20.050786
-30.0,30,20.141296
1.0,18,20.199725
-495.0,15,20.241945
-19.0,23,20.315047
-50.0,45,20.430276
-494.0,3,20.437276
91.0,8,20.463276
16.0,13,20.497277
-70.0,60,20.695395
-134.0,68,20.918931
-28.0,21,20.980931
-10.0,25,21.062992
42.0,11,21.098992
26.0,18,21.157029
70.0,30,21.252542
-40.0,35,21.359268
-32.0,34,21.462782
-506.0,22,21.527409
18.0,13,21.561408
-28.0,31,21.644457
-492.0,4,21.656457
36.0,13,21.699458
-3.0,12,21.736848
8.0,24,21.812844
-34.0,28,21.894767
1.0,28,21.969276
-33.0,31,22.0533
21.0,8,22.074298
14.0,12,22.110302
77.0,11,22.146323
22.0,6,22.159325
-47.0,49,22.30311
-120.0,85,22.556978
1.0,3,22.564977
-491.0,12,22.608475
56.0,8,22.628979
31.0,38,22.744779
-37.0,54,22.911359
4.0,2,22.915358
36.0,18,22.967405
56.0,18,23.016407
-33.0,36,23.122542
4.0,12,23.159637
-24.0,28,23.235661
25.0,20,23.294675
20.0,25,23.362711
3.0,6,23.378711
-11.0,20,23.435819
1.0,8,23.458819
14.0,17,23.50582
-11.0,12,23.540871
3.0,29,23.634381
4.0,2,23.641381
10.0,20,23.709384
51.0,8,23.736892
-2.0,6,23.750891
-16.0,22,23.814893
21.0,23,23.8894
51.0,18,23.959913
-13.0,21,24.022346
-33.0,41,24.162011
29.0,22,24.248058
-494.0,3,24.25906
37.0,16,24.319066
-498.0,1,24.323577
10.0,30,24.453085
35.0,15,24.50516
-9.0,18,24.561665
67.0,21,24.615759
-479.0,13,24.648265
18.0,24,24.719344
-83.0,51,24.89449
74.0,12,24.932639
-496.0,2,24.94264
34.0,17,25.004642
-492.0,4,25.018642
7.0,16,25.072686
-61.0,37,25.182117
-10.0,30,25.279196
55.0,15,25.322426
-495.0,5,25.340428
53.0,14,25.383736
27.0,16,25.432247
73.0,24,25.51525
79.0,22,25.575325
-5.0,25,25.642645
55.0,10,25.674645
88.0,4,25.686643
117.0,16,25.734499
8.0,14,25.7785
-2.0,19,25.836892
6.0,3,25.844892
6.0,13,25.882891
2.0,31,25.978819
-15.0,25,26.051915
-11.0,32,26.144426
-489.0,8,26.163425
-492.0,4,26.179426
28.0,19,26.228931
17.0,26,26.298931
90.0,5,26.310933
-3.0,25,26.376121
-489.0,8,26.40212
45.0,15,26.456196
21.0,8,26.476196
87.0,21,26.539343
6.0,13,26.578343
-498.0,1,26.582343
-85.0,45,26.724461
-9.0,38,26.859573
-97.0,44,26.99711
84.0,7,27.021621
-12.0,19,27.084619
23.0,19,27.138912
-5.0,20,27.190912
-105.0,80,27.412142
-33.0,41,27.532346
9.0,12,27.575346
44.0,27,27.653658
-72.0,74,27.869246
61.0,18,27.922313
81.0,18,28.034461
28.0,14,28.08746
-486.0,7,28.102647
79.0,17,28.150718
-14.0,28,28.22172
-41.0,32,28.309952
113.0,34,28.406581
118.0,14,28.455637
-498.0,1,28.458637
7.0,5,28.472642
25.0,25,28.543942
22.0,11,28.574954
9.0,12,28.619009
22.0,20,28.68811
32.0,16,28.739013
19.0,47,28.883138
19.0,17,28.936325
-488.0,6,28.950324
84.0,27,29.035157
-5.0,60,29.242167
43.0,24,29.322169
3.0,14,29.358192
-22.0,29,29.434376
-1.0,7,29.458823
54.0,12,29.499137
-498.0,11,29.529644
-2.0,9,29.555645
50.0,40,29.669552
21.0,38,29.771283
-4.0,18,29.824579
14.0,17,29.879579
-494.0,3,29.88758
-193.0,91,30.150686
3.0,9,30.181846
-494.0,3,30.195845
23.0,34,30.292
-498.0,1,30.295
-483.0,11,30.33105
-491.0,7,30.352051
-1.0,2,30.35705
59.0,32,30.447289
76.0,23,30.523334
-493.0,6,30.546392
-1.0,23,30.616394
66.0,3,30.623394
88.0,14,30.666422
49.0,7,30.688423
-499.0,8,30.718429
2.0,26,30.789473
2.0,6,30.807473
3.0,4,30.818476
21.0,13,30.869331
17.0,26,30.952867
68.0,19,31.01587
9.0,7,31.033914
-60.0,40,31.149135
-3.0,51,31.285168
-498.0,1,31.289236
25.0,35,31.426081
17.0,11,31.467079
6.0,3,31.477079
48.0,39,31.582113
-504.0,13,31.621116
-13.0,28,31.711143
-494.0,13,31.758332
10.0,10,31.794335
29.0,17,31.863434
-497.0,4,31.876435
64.0,17,31.930362
103.0,34,32.020957
24.0,22,32.087467
66.0,23,32.154536
9.0,7,32.178536
-3.0,6,32.199696
73.0,19,32.254718
37.0,11,32.284719
-16.0,22,32.351227
-44.0,23,32.421331
9.0,17,32.484357
-88.0,56,32.629899
17.0,26,32.729049
1.0,18,32.790051
-484.0,8,32.822053
108.0,24,32.896239
-43.0,43,33.027308
-490.0,5,33.046308
-7.0,24,33.133344
34.0,7,33.151344
18.0,49,33.275388
75.0,10,33.30539
-13.0,46,33.478605
-9.0,28,33.580469
45.0,10,33.615597
2.0,6,33.639107
2.0,26,33.715109
-21.0,29,33.798027
-50.0,35,33.901539
-108.0,63,34.092658
39.0,22,34.175773
43.0,14,34.23001
-3.0,11,34.272009
-494.0,3,34.285008
7.0,6,34.306009
-488.0,6,34.329109
-26.0,22,34.399109
43.0,14,34.439209
-25.0,20,34.493209
53.0,29,34.580722
-5.0,30,34.688314
-35.0,27,34.778416
-498.0,1,34.782418
-35.0,45,34.947441
6.0,18,34.99444
-499.0,3,35.001441
5.0,35,35.094456
30.0,15,35.132515
-492.0,4,35.145516
87.0,26,35.223227
19.0,22,35.294735
73.0,14,35.340344
26.0,3,35.352344
-488.0,11,35.389345
69.0,22,35.453854
-10.0,30,35.545973
-496.0,2,35.553973
62.0,31,35.651999
44.0,17,35.702999
-499.0,3,35.710999
-478.0,11,35.753211
66.0,13,35.793213
-8.0,26,35.868214
2.0,1,35.873213
10.0,15,35.929748
-501.0,2,35.937748
1.0,15,35.992966
-499.0,8,36.019218
4.0,16,36.064724
8.0,14,36.103725
-493.0,6,36.123729
81.0,28,36.198874
-481.0,12,36.238011
59.0,22,36.303265
-498.0,1,36.306267
-32.0,24,36.377837
-6.0,27,36.45309
81.0,23,36.515185
-488.0,6,36.533691
64.0,7,36.557692
27.0,6,36.578691
69.0,17,36.633729
41.0,23,36.716733
43.0,19,36.761768
7.0,16,36.799768
-486.0,12,36.839834
9.0,22,36.902834
-10.0,25,36.970947
13.0,34,37.083932
-505.0,10,37.120935
4.0,12,37.16701
42.0,26,37.261183
-494.0,3,37.273183
23.0,9,37.312184
20.0,20,37.387465
-22.0,14,37.441154
27.0,11,37.476155
-489.0,8,37.503155
-496.0,2,37.512156
2.0,16,37.561339
9.0,42,37.683824
23.0,4,37.700824
7.0,11,37.746336
-55.0,35,37.876718
27.0,36,38.01223
49.0,27,38.110269
11.0,13,38.153784
-6.0,12,38.202783
-498.0,1,38.205783
-487.0,9,38.240293
59.0,37,38.354335
25.0,15,38.402334
-2.0,14,38.447375
-498.0,1,38.449376
-23.0,15,38.497375
55.0,20,38.552531
4.0,2,38.557532
83.0,24,38.633575
15.0,15,38.689576
11.0,10,38.724579
-86.0,57,38.928595
-22.0,11,38.964595
19.0,22,39.047493
-65.0,50,39.197554
-20.0,30,39.281334
-10.0,25,39.354521
26.0,28,39.436582
25.0,25,39.508756
38.0,19,39.563807
-490.0,5,39.577807
-492.0,4,39.590807
-48.0,36,39.712981
-10.0,15,39.772022
33.0,14,39.82316
-1.0,17,39.873198
17.0,26,39.972052
64.0,17,40.042084
89.0,22,40.114086
-495.0,5,40.127086
9.0,12,40.16641
-61.0,87,40.471029
47.0,11,40.509031
57.0,16,40.574131
17.0,26,40.668231
0.0,21,40.723233
9.0,22,40.793782
-7.0,9,40.828284
-490.0,5,40.846288
-56.0,52,41.033936
47.0,16,41.091935
-13.0,21,41.155785
54.0,12,41.192815
1.0,23,41.278983
-19.0,18,41.341007
12.0,26,41.418962
-519.0,23,41.482036
67.0,6,41.505036
-36.0,62,41.704816
26.0,13,41.755953
-47.0,41,41.902982
-8.0,21,41.984214
-3.0,21,42.058272
111.0,8,42.079272
-107.0,34,42.179327
-1.0,12,42.224331
-38.0,41,42.373443
14.0,12,42.415447
52.0,31,42.524493
-63.0,41,42.655597
10.0,7,42.6766
-504.0,8,42.702639
23.0,4,42.715643
-34.0,18,42.780738
-11.0,32,42.875778
30.0,30,42.988812
4.0,22,43.063328
-488.0,11,43.097328
-59.0,18,43.148124
-8.0,8,43.169128
24.0,7,43.192122
3.0,19,43.242631
48.0,24,43.307632
-9.0,8,43.330153
-486.0,7,43.349158
18.0,9,43.373157
81.0,8,43.395157
-5.0,30,43.473667
10.0,20,43.532181
-492.0,4,43.541181
-6.0,37,43.639689
-108.0,76,43.837718
-22.0,49,43.959234
2.0,21,44.014234
6.0,8,44.035765
39.0,37,44.136284
66.0,18,44.195286
-25.0,23,44.271799
-12.0,39,44.396309
24.0,22,44.468019
2.0,6,44.484015
-12.0,14,44.524018
48.0,24,44.593524
-482.0,9,44.617531
-83.0,41,44.726053
-12.0,24,44.803561
63.0,19,44.863108
24.0,12,44.898587
28.0,24,44.977099
8.0,29,45.06963
-488.0,6,45.086629
21.0,13,45.128143
13.0,19,45.183959
-26.0,42,45.30947
94.0,12,45.347972
-498.0,6,45.365972
11.0,43,45.4985
14.0,22,45.568009
-4.0,32,45.665521
-25.0,25,45.737079
-488.0,6,45.758073
11.0,18,45.805074
102.0,16,45.856832
-13.0,26,45.926835
77.0,11,45.959342
-47.0,34,46.049382
1.0,38,46.151891
0.0,2,46.159891
-522.0,14,46.205891
1.0,43,46.323424
13.0,10,46.349965
-518.0,16,46.399951
84.0,2,46.40495
-78.0,41,46.518474
-493.0,16,46.561982
70.0,10,46.594982
-30.0,50,46.723492
-59.0,30,46.813234
-51.0,67,46.999791
-7.0,14,47.044297
1.0,3,47.051297
-24.0,28,47.130311
67.0,6,47.14883
-530.0,25,47.219181
-84.0,48,47.34131
30.0,15,47.382305
6.0,13,47.422831
-103.0,71,47.61085
-487.0,14,47.653367
13.0,24,47.719369
-7.0,39,47.824877
3.0,4,47.839389
-490.0,10,47.876389
-27.0,44,47.985896
4.0,27,48.059411
-66.0,37,48.157911
9.0,27,48.230916
-24.0,33,48.321423
-8.0,21,48.379927
27.0,21,48.43544
-14.0,28,48.513435
49.0,32,48.606167
-119.0,53,48.73719
18.0,18,48.788217
-9.0,28,48.862746
6.0,18,48.915738
-494.0,3,48.92775
-5.0,2,48.936244
41.0,28,49.009244
-493.0,6,49.027256
-18.0,36,49.120814
0.0,50,49.254833
-126.0,77,49.449888
14.0,17,49.499886
57.0,16,49.5494
-504.0,8,49.569404
39.0,32,49.656918
-28.0,33,49.742425
55.0,20,49.796426
58.0,19,49.857945
-5.0,20,49.918822
-1.0,24,49.990901
32.0,16,50.033407
-62.0,34,50.118409
-53.0,23,50.180729
20.0,15,50.220731
5.0,15,50.264243
-6.0,42,50.368759
15.0,15,50.40877
-51.0,52,50.54781
-1.0,1,50.55081
-46.0,42,50.663321
-11.0,22,50.731343
17.0,16,50.780836
-496.0,2,50.785836
-541.0,27,50.860349
56.0,8,50.882344
92.0,26,50.950864
26.0,18,51.001867
13.0,19,51.056381
23.0,24,51.118383
2.0,27,51.186939
-496.0,2,51.19689
-497.0,4,51.206889
1.0,14,51.246404
-484.0,8,51.268404
79.0,32,51.35234
12.0,26,51.420349
2.0,26,51.483854
55.0,10,51.511873
10.0,5,51.525405
82.0,6,51.541921
97.0,11,51.576922
-61.0,52,51.715428
65.0,25,51.785941
60.0,15,51.832449
-52.0,39,51.932461
-135.0,87,52.188007
-63.0,41,52.310517
-32.0,29,52.399024
7.0,11,52.430027
-491.0,7,52.450533
33.0,19,52.503533
17.0,41,52.616047
-12.0,39,52.718886
-486.0,7,52.736391
79.0,27,52.811391
12.0,16,52.858911
-120.0,80,53.077495
2.0,1,53.080504
14.0,32,53.172055
-494.0,8,53.189013
50.0,5,53.206051
-34.0,32,53.289522
-13.0,61,53.443537
-20.0,25,53.514537
-99.0,55,53.648556
2.0,15,53.695551
-81.0,37,53.799061
-488.0,6,53.817065
10.0,30,53.897572
15.0,20,53.954082
15.0,15,53.995082
2.0,17,54.04481
-492.0,9,54.07081
46.0,18,54.120822
-30.0,20,54.174346
16.0,13,54.210341
0.0,10,54.238456
53.0,14,54.283981
-49.0,43,54.39848
25.0,35,54.489006
-14.0,28,54.562515
15.0,15,54.611515
-496.0,2,54.616514
-495.0,5,54.63403
23.0,24,54.723032
-498.0,1,54.725032
-18.0,21,54.778537
62.0,1,54.780537
-494.0,3,54.789537
-94.0,78,54.991557
51.0,18,55.046072
-24.0,23,55.108078
5.0,25,55.168591
38.0,24,55.234383
5.0,20,55.295383
55.0,5,55.310383
-27.0,34,55.398892
-71.0,27,55.471397
0.0,27,55.537905
5.0,20,55.593412
-495.0,5,55.610412
120.0,30,55.688926
5.0,12,55.72493
-7.0,14,55.767428
8.0,14,55.806432
74.0,12,55.846936
28.0,54,55.984442
17.0,21,56.04495
-487.0,9,56.07095
-84.0,55,56.220479
-492.0,4,56.231475
62.0,1,56.236979
-6.0,12,56.276979
-5.0,9,56.30398
21.0,3,56.313979
-600.0,100,56.588544
73.0,19,56.654079
-5.0,30,56.741975
-7.0,19,56.799984
6.0,8,56.830989
90.0,15,56.880496
-498.0,1,56.885495
26.0,3,56.896498
-8.0,41,57.007045
53.0,9,57.036554
67.0,41,57.145441
-481.0,12,57.184443
-140.0,90,57.423807
-34.0,33,57.513388
-486.0,7,57.534897
-9.0,33,57.626088
73.0,24,57.693596
59.0,7,57.712596
27.0,11,57.749106
-492.0,4,57.762107
6.0,27,57.842201
21.0,13,57.889201
6.0,18,57.952564
80.0,15,58.012788
-2.0,11,58.053299
-24.0,43,58.202233
-487.0,9,58.233236
15.0,15,58.282746
-20.0,26,58.351386
13.0,9,58.379387
-34.0,28,58.463583
-26.0,37,58.576621
-496.0,2,58.581621
51.0,18,58.633624
-499.0,3,58.642798
-14.0,29,58.731802
-116.0,67,58.960861
-496.0,2,58.968863
-13.0,8,58.998861
-11.0,17,59.053454
