#{"t_start": 1733560904.3481503, "env_id": "p4_Env-v0"}
r,l,t
-698.0,7,2.082836
10.0,8,2.112353
-5.0,17,2.174354
-696.0,4,2.189353
34.0,20,2.261872
-708.0,8,2.289871
-699.0,1,2.293871
124.0,18,2.360389
131.0,9,2.392389
74.0,33,2.515424
-40.0,14,2.566424
-89.0,34,2.686943
-40.0,37,2.819976
-51.0,31,2.931693
12.0,2,2.939692
-695.0,5,2.957693
4.0,6,2.980693
32.0,23,3.063859
-697.0,3,3.075859
18.0,36,3.204544
-696.0,4,3.219054
-103.0,35,3.343189
-97.0,26,3.435265
-63.0,21,3.511271
-127.0,47,3.678144
-61.0,30,3.785662
-42.0,30,3.895178
-44.0,37,4.029211
-692.0,8,4.058211
-110.0,57,4.258399
12.0,18,4.322919
14.0,12,4.366919
-24.0,16,4.42443
41.0,27,4.520624
-96.0,47,4.688142
-108.0,59,4.896173
13.0,39,5.043202
-28.0,34,5.16472
-24.0,9,5.197726
-16.0,31,5.312026
60.0,11,5.351514
-56.0,22,5.434029
7.0,17,5.496029
16.0,14,5.546134
-37.0,5,5.56513
-699.0,1,5.569131
-60.0,13,5.61765
-700.0,8,5.654649
-104.0,60,5.883852
70.0,24,5.969366
43.0,17,6.031885
16.0,14,6.082883
-698.0,6,6.113395
115.0,13,6.160396
69.0,16,6.217915
-158.0,78,6.492949
125.0,7,6.519464
55.0,18,6.587463
68.0,3,6.599467
-38.0,23,6.680768
65.0,19,6.749287
-690.0,10,6.784292
-28.0,42,6.933334
-34.0,23,7.016848
-106.0,44,7.172366
10.0,26,7.265073
-11.0,18,7.329591
-35.0,13,7.37659
-40.0,49,7.550626
131.0,20,7.623136
65.0,11,7.662136
-96.0,44,7.833174
-47.0,27,7.937693
-54.0,44,8.101211
-703.0,9,8.137449
-699.0,1,8.141449
-80.0,70,8.396487
120.0,14,8.453006
-104.0,49,8.63621
130.0,12,8.685209
12.0,14,8.743725
10.0,14,8.798725
-699.0,9,8.836752
94.0,33,8.963269
-60.0,30,9.078788
-23.0,7,9.105794
107.0,23,9.197191
5.0,14,9.253709
2.0,24,9.348225
-24.0,38,9.493742
-104.0,60,9.720293
15.0,5,9.741294
-60.0,22,9.828813
-55.0,35,9.963053
136.0,18,10.039572
-28.0,22,10.12709
-112.0,48,10.309688
-59.0,35,10.445716
-62.0,26,10.549234
-54.0,30,10.666752
-87.0,55,10.877788
-706.0,6,10.903793
15.0,30,11.02182
11.0,13,11.07782
-20.0,37,11.221854
15.0,10,11.263853
-15.0,23,11.360547
-22.0,10,11.403551
72.0,2,11.41155
-24.0,25,11.51164
-34.0,16,11.579759
-28.0,12,11.632276
-126.0,36,11.770795
15.0,17,11.842311
71.0,1,11.846309
-68.0,30,11.966828
-155.0,59,12.187066
-92.0,66,12.433618
-68.0,35,12.572136
48.0,22,12.661654
-80.0,32,12.785364
-694.0,6,12.812368
-41.0,11,12.860597
-220.0,91,13.201703
83.0,17,13.273215
-59.0,25,13.375732
-698.0,2,13.382731
-32.0,54,13.587769
-5.0,13,13.642935
-24.0,21,13.729253
3.0,21,13.813261
-41.0,35,13.94829
-8.0,24,14.046306
-1.0,38,14.191833
-695.0,5,14.212837
-704.0,4,14.230344
-16.0,16,14.298346
13.0,15,14.358863
74.0,8,14.391863
-697.0,3,14.405866
37.0,21,14.493376
-22.0,36,14.634401
-694.0,6,14.661402
47.0,24,14.758921
-37.0,27,14.872451
63.0,17,14.93997
-712.0,8,14.973971
98.0,20,15.054488
90.0,23,15.149007
53.0,23,15.240375
-44.0,6,15.265374
-60.0,43,15.430412
-52.0,33,15.562929
2.0,29,15.694447
26.0,16,15.773959
-22.0,18,15.847475
-699.0,9,15.885475
-34.0,40,16.041511
-24.0,46,16.221548
-723.0,13,16.275548
71.0,1,16.279546
70.0,16,16.348065
71.0,1,16.352066
14.0,13,16.409072
-17.0,28,16.532053
-38.0,6,16.557053
-20.0,23,16.648571
-47.0,21,16.73709
-27.0,27,16.844799
-84.0,34,16.980316
48.0,22,17.069834
2.0,28,17.180857
8.0,18,17.251376
122.0,13,17.309382
-42.0,43,17.480412
-43.0,9,17.519924
-126.0,52,17.717962
-24.0,20,17.810968
-48.0,6,17.844477
-950.0,100,18.228712
-162.0,59,18.449749
-14.0,34,18.583267
135.0,14,18.64478
11.0,11,18.69478
-702.0,10,18.740301
-28.0,14,18.800302
-84.0,32,18.930445
-28.0,2,18.938446
-46.0,12,18.991448
125.0,19,19.06951
12.0,6,19.09151
-697.0,3,19.105515
25.0,18,19.182935
-61.0,47,19.364341
-20.0,34,19.498031
-694.0,6,19.524568
-8.0,56,19.736334
125.0,29,19.848499
-5.0,6,19.875499
-44.0,24,19.970012
-710.0,14,20.029532
-697.0,3,20.042533
134.0,12,20.095533
-2.0,21,20.181823
-702.0,6,20.205828
-696.0,4,20.224061
-59.0,14,20.285094
-26.0,9,20.3171
-225.0,75,20.600189
-38.0,6,20.62221
-703.0,5,20.645211
-39.0,21,20.734259
69.0,12,20.783259
-697.0,3,20.800259
-699.0,1,20.806262
-65.0,16,20.871842
77.0,7,20.896844
-8.0,9,20.935356
13.0,3,20.949354
8.0,6,20.976354
-44.0,39,21.126483
8.0,3,21.137483
-43.0,19,21.21649
-697.0,3,21.227614
74.0,13,21.282614
-198.0,55,21.49588
-61.0,35,21.653912
114.0,25,21.755008
-27.0,35,21.893051
51.0,29,22.008096
-699.0,1,22.012096
74.0,12,22.06312
106.0,16,22.136517
-9.0,17,22.206521
-698.0,2,22.213521
79.0,49,22.400287
76.0,6,22.42733
-23.0,11,22.47533
-699.0,1,22.47933
-53.0,13,22.53742
120.0,21,22.625553
-698.0,2,22.632551
18.0,8,22.670552
-696.0,8,22.706556
-24.0,26,22.810843
-703.0,5,22.831868
-27.0,21,22.925978
58.0,28,23.036044
-31.0,17,23.110049
37.0,36,23.25127
-699.0,1,23.25527
-149.0,62,23.493351
47.0,26,23.599522
-19.0,27,23.710823
134.0,8,23.745014
-8.0,20,23.829081
3.0,19,23.909086
-692.0,8,23.944453
7.0,13,24.008458
-698.0,2,24.024968
-696.0,4,24.045968
-694.0,6,24.072968
-10.0,57,24.301056
19.0,9,24.357152
133.0,8,24.400151
134.0,20,24.504557
-57.0,48,24.694096
-42.0,26,24.797386
59.0,19,24.877441
-26.0,26,24.979648
-54.0,23,25.07667
17.0,36,25.217883
64.0,30,25.358479
-699.0,1,25.36248
70.0,13,25.421483
24.0,30,25.547023
-133.0,43,25.721078
-50.0,8,25.75815
-698.0,6,25.784152
1.0,40,25.941256
67.0,36,26.086275
-93.0,53,26.290428
1.0,17,26.364627
76.0,15,26.429791
11.0,1,26.434794
-1.0,14,26.496791
-18.0,24,26.597859
-90.0,43,26.784929
43.0,26,26.899003
-696.0,4,26.923008
-4.0,14,26.982414
-102.0,29,27.097929
