#{"t_start": 1731722603.259032, "env_id": "p2_Env-v0"}
r,l,t
161.0,26,1.748161
31.0,31,1.829766
-498.0,2,1.833764
-77.0,50,1.964474
70.0,19,2.016779
-494.0,14,2.053912
-21.0,36,2.148788
-603.0,49,2.3002
-530.0,22,2.374267
78.0,29,2.454974
214.0,8,2.476117
21.0,30,2.554226
-492.0,8,2.581942
-496.0,4,2.594014
19.0,53,2.729244
-501.0,3,2.743262
54.0,12,2.787002
-501.0,7,2.810508
-110.0,63,2.984287
32.0,38,3.084207
-498.0,2,3.089266
43.0,33,3.170182
113.0,20,3.22105
10.0,12,3.255881
-519.0,17,3.299213
-497.0,3,3.307273
-490.0,14,3.345842
-47.0,94,3.611998
-18.0,17,3.665836
-499.0,1,3.669843
173.0,26,3.737129
17.0,39,3.83578
121.0,21,3.887303
-202.0,86,4.10514
21.0,29,4.190823
165.0,29,4.267006
38.0,22,4.339337
-508.0,4,4.349845
-29.0,22,4.401142
-500.0,12,4.429791
-489.0,11,4.457987
-44.0,53,4.592049
164.0,4,4.604131
-251.0,96,4.893403
8.0,50,5.047886
-497.0,3,5.05923
-769.0,100,5.385968
-506.0,10,5.416168
-758.0,100,5.735903
76.0,38,5.845998
-824.0,100,6.164336
-67.0,60,6.343132
107.0,41,6.444936
7.0,17,6.492087
31.0,42,6.594531
110.0,49,6.750237
-786.0,100,7.029608
135.0,27,7.102467
-28.0,21,7.15753
37.0,43,7.272304
98.0,58,7.43603
-494.0,10,7.471251
117.0,31,7.571473
-514.0,13,7.610286
108.0,10,7.635513
-517.0,19,7.684594
-500.0,16,7.728045
167.0,27,7.808486
11.0,1,7.812487
-522.0,23,7.886491
194.0,26,7.963173
60.0,30,8.04074
127.0,15,8.078639
-30.0,33,8.177276
-501.0,3,8.188411
193.0,18,8.248341
61.0,5,8.269714
63.0,49,8.431699
-533.0,19,8.496282
-528.0,20,8.56047
223.0,21,8.617611
-797.0,100,8.947338
-499.0,5,8.966394
-82.0,57,9.123455
99.0,26,9.209262
174.0,33,9.328538
48.0,12,9.372689
162.0,19,9.442505
-513.0,23,9.520441
105.0,15,9.575627
7.0,86,9.843386
-492.0,8,9.875209
148.0,16,9.932955
-17.0,16,9.991677
108.0,10,10.026478
174.0,44,10.154941
61.0,21,10.216255
-499.0,9,10.243814
-788.0,100,10.570758
-51.0,72,10.830935
174.0,26,10.906538
-115.0,87,11.188709
123.0,14,11.240886
13.0,3,11.252463
65.0,32,11.365292
189.0,19,11.432576
43.0,19,11.499501
-501.0,7,11.527521
-2.0,13,11.570429
68.0,29,11.659554
109.0,59,11.867326
47.0,17,11.923514
126.0,31,12.029373
-4.0,14,12.077495
84.0,14,12.121007
203.0,9,12.148795
-497.0,3,12.157967
139.0,23,12.226413
-70.0,30,12.306798
111.0,15,12.356684
-47.0,95,12.671837
-110.0,81,12.892787
151.0,31,12.975663
-21.0,33,13.071855
24.0,55,13.226447
115.0,41,13.349834
58.0,14,13.388523
151.0,19,13.45001
13.0,11,13.49195
-686.0,64,13.722523
98.0,57,13.886757
-122.0,60,14.09571
138.0,16,14.155071
-26.0,28,14.234044
114.0,18,14.29127
167.0,39,14.413768
-8.0,39,14.548821
135.0,27,14.631759
7.0,33,14.730728
-6.0,61,14.938738
203.0,25,15.028667
-714.0,75,15.256868
113.0,16,15.318669
-68.0,39,15.460732
98.0,32,15.580623
-781.0,100,15.936609
60.0,4,15.951456
28.0,60,16.168908
9.0,4,16.182949
-99.0,78,16.462169
-541.0,23,16.545289
51.0,16,16.613043
-619.0,57,16.818303
18.0,16,16.87118
31.0,50,17.06371
-35.0,87,17.324265
48.0,22,17.405771
125.0,41,17.556748
-522.0,18,17.618238
66.0,24,17.695496
-512.0,20,17.752892
-775.0,100,18.105378
-499.0,5,18.123955
8.0,6,18.145454
-494.0,6,18.173273
214.0,24,18.253927
28.0,26,18.327234
-540.0,20,18.39498
-499.0,1,18.398064
108.0,6,18.423857
196.0,26,18.504272
14.0,33,18.605333
-498.0,2,18.613347
-106.0,46,18.777273
-510.0,10,18.815985
160.0,30,18.925106
52.0,33,19.042149
-535.0,23,19.119057
-12.0,18,19.171955
-140.0,93,19.476165
179.0,17,19.537292
38.0,16,19.599384
160.0,10,19.637282
-46.0,37,19.769932
79.0,19,19.842185
209.0,7,19.871753
-9.0,29,19.975175
156.0,28,20.069363
-73.0,59,20.238417
-494.0,6,20.253984
96.0,55,20.404449
71.0,19,20.467284
89.0,41,20.593929
18.0,24,20.682027
-497.0,7,20.705633
201.0,14,20.762178
-105.0,61,20.969132
13.0,61,21.185455
-118.0,48,21.322418
106.0,19,21.374324
16.0,83,21.621172
25.0,29,21.717276
129.0,41,21.845771
-51.0,32,21.96057
102.0,12,22.013516
205.0,5,22.03406
36.0,43,22.155644
-499.0,1,22.15815
-15.0,24,22.232118
-507.0,5,22.244624
24.0,67,22.459567
-231.0,86,22.778398
135.0,34,22.905585
13.0,7,22.934458
102.0,9,22.973486
199.0,9,23.0052
59.0,27,23.094496
-499.0,1,23.098623
-498.0,2,23.104623
112.0,22,23.173593
154.0,52,23.33748
-190.0,91,23.663178
73.0,33,23.791421
-69.0,30,23.908336
24.0,64,24.14055
207.0,17,24.202524
57.0,25,24.29051
143.0,19,24.357219
-60.0,48,24.515775
-506.0,6,24.546989
211.0,27,24.625407
16.0,33,24.725892
11.0,68,24.960692
8.0,25,25.050991
13.0,46,25.188497
180.0,26,25.278581
0.0,44,25.403585
161.0,1,25.406585
15.0,13,25.463754
-490.0,10,25.503553
210.0,8,25.530549
1.0,33,25.625335
-499.0,1,25.632745
-100.0,41,25.791674
94.0,30,25.907284
215.0,21,25.987565
-512.0,8,26.02474
-825.0,100,26.370514
-499.0,1,26.375515
53.0,47,26.554842
165.0,27,26.642557
-201.0,94,26.961476
