#{"t_start": 1731722746.9424522, "env_id": "p1_Env-v0"}
r,l,t
17.0,21,1.23351
-29.0,43,1.353175
54.0,22,1.406225
8.0,24,1.466359
-40.0,42,1.575718
-8.0,31,1.666303
3.0,11,1.696228
61.0,23,1.75656
-118.0,51,1.889481
-42.0,49,2.021227
-492.0,9,2.045321
15.0,50,2.178358
-85.0,60,2.339203
5.0,10,2.362305
-62.0,89,2.610433
-102.0,54,2.776397
102.0,26,2.860383
31.0,33,2.949917
-518.0,21,3.005147
50.0,15,3.045805
-492.0,4,3.057369
34.0,17,3.103525
-509.0,23,3.178681
-498.0,1,3.182328
-492.0,4,3.199694
3.0,11,3.235424
-494.0,3,3.246444
63.0,14,3.280739
12.0,31,3.358949
-490.0,5,3.371453
8.0,19,3.417494
25.0,30,3.488216
0.0,15,3.523251
15.0,10,3.549268
-498.0,1,3.552278
-496.0,2,3.561281
64.0,2,3.56679
30.0,15,3.601311
6.0,13,3.633333
87.0,21,3.683369
70.0,5,3.693885
9.0,18,3.737712
-22.0,29,3.806757
-492.0,14,3.844773
40.0,25,3.907305
17.0,16,3.946343
24.0,12,3.974369
-2.0,14,4.00689
93.0,29,4.076491
-499.0,3,4.083994
1.0,23,4.139514
-18.0,51,4.267096
19.0,7,4.286112
-496.0,2,4.291107
32.0,6,4.307119
-68.0,46,4.421168
-800.0,100,4.663968
-486.0,7,4.680474
32.0,46,4.792706
-508.0,31,4.869248
-16.0,17,4.922879
1.0,43,5.025429
-538.0,26,5.092272
-3.0,21,5.146302
31.0,33,5.231416
-496.0,2,5.235925
-483.0,11,5.262934
13.0,14,5.300458
65.0,5,5.31448
-23.0,46,5.431174
-491.0,7,5.448183
14.0,7,5.468719
11.0,18,5.509739
-31.0,32,5.585892
39.0,22,5.642415
10.0,20,5.698465
-2.0,14,5.733485
20.0,25,5.797547
66.0,23,5.851086
-45.0,30,5.923136
-79.0,58,6.064189
85.0,10,6.090199
11.0,23,6.14622
-4.0,3,6.155726
8.0,14,6.206122
-494.0,3,6.212623
67.0,31,6.280661
-86.0,67,6.44275
72.0,6,6.464055
66.0,3,6.472559
-493.0,6,6.490065
33.0,34,6.571095
-498.0,1,6.5736
-27.0,31,6.654729
34.0,12,6.687752
26.0,23,6.749789
34.0,7,6.768324
-6.0,17,6.808343
0.0,5,6.819847
-503.0,21,6.872868
118.0,9,6.89488
-21.0,32,6.971407
-512.0,24,7.029439
18.0,4,7.039945
-497.0,9,7.064456
7.0,6,7.08096
105.0,5,7.092974
1.0,17,7.135993
19.0,52,7.262841
48.0,39,7.358974
59.0,12,7.392502
104.0,37,7.480005
-498.0,1,7.482507
-4.0,38,7.577047
-23.0,51,7.701101
53.0,29,7.774153
65.0,5,7.790658
91.0,18,7.838465
-5.0,5,7.850967
-44.0,43,7.958564
66.0,33,8.037718
-89.0,52,8.165897
18.0,34,8.258037
0.0,15,8.299068
32.0,11,8.330588
-49.0,38,8.425664
15.0,15,8.467705
-83.0,36,8.555271
8.0,24,8.618294
-22.0,14,8.656327
87.0,6,8.674332
-5.0,22,8.731876
106.0,18,8.782928
25.0,20,8.833448
-526.0,17,8.882969
10.0,25,8.960503
55.0,15,9.007027
-41.0,22,9.067556
3.0,24,9.141125
-40.0,15,9.188641
9.0,17,9.245726
-26.0,27,9.319822
0.0,2,9.327334
9.0,22,9.395911
-496.0,2,9.403407
20.0,24,9.476453
-158.0,71,9.693139
52.0,21,9.761667
21.0,38,9.885736
43.0,29,9.985296
-576.0,47,10.137417
-3.0,26,10.227135
-498.0,1,10.231136
24.0,12,10.26966
-494.0,3,10.282665
19.0,42,10.44328
39.0,12,10.472802
-1.0,24,10.533616
13.0,25,10.601173
-491.0,7,10.617181
36.0,33,10.700727
-109.0,48,10.818172
52.0,11,10.846967
26.0,38,10.948511
-4.0,28,11.02705
15.0,17,11.071161
8.0,33,11.158213
42.0,21,11.217243
-1.0,32,11.301796
44.0,17,11.345318
-498.0,11,11.376335
2.0,26,11.439358
37.0,26,11.500886
33.0,14,11.543405
24.0,2,11.547405
15.0,20,11.601438
91.0,18,11.64896
48.0,14,11.690484
-14.0,28,11.764023
104.0,2,11.770023
-42.0,44,11.88818
-491.0,7,11.904914
56.0,33,11.987457
-147.0,64,12.156572
42.0,21,12.225973
-33.0,36,12.344539
3.0,14,12.391063
13.0,29,12.480101
-2.0,29,12.575653
55.0,40,12.709752
4.0,32,12.810328
-498.0,1,12.814832
49.0,37,12.93441
50.0,20,13.004437
36.0,18,13.071969
-40.0,25,13.160033
26.0,3,13.168538
-485.0,15,13.220058
-4.0,28,13.290384
38.0,14,13.330401
-13.0,35,13.422989
-498.0,1,13.426993
32.0,11,13.457007
-159.0,88,13.687738
-12.0,19,13.738262
2.0,10,13.761783
57.0,16,13.811308
-490.0,5,13.824318
-7.0,34,13.909867
-6.0,27,13.978767
-34.0,33,14.063307
52.0,26,14.128836
79.0,17,14.176863
-30.0,25,14.240893
-104.0,45,14.355479
17.0,36,14.448583
44.0,37,14.549789
26.0,3,14.558813
28.0,24,14.621451
-10.0,30,14.703798
-482.0,9,14.724807
15.0,45,14.845412
-503.0,21,14.901434
-542.0,19,14.948954
112.0,16,14.991473
25.0,35,15.100567
-8.0,28,15.182146
-490.0,5,15.198169
14.0,27,15.281814
93.0,39,15.394447
0.0,18,15.441487
68.0,14,15.480052
-14.0,33,15.571154
69.0,17,15.621709
-57.0,69,15.815862
-75.0,45,15.939411
-93.0,46,16.06108
-15.0,30,16.155154
-9.0,28,16.231202
-13.0,16,16.284766
16.0,28,16.364343
72.0,6,16.377855
28.0,19,16.441893
-490.0,5,16.453911
7.0,6,16.47193
93.0,9,16.502449
69.0,7,16.523985
-1.0,27,16.601082
64.0,17,16.6516
54.0,27,16.727171
-498.0,1,16.731172
32.0,31,16.819231
42.0,11,16.852273
-37.0,44,16.968894
32.0,11,17.007444
65.0,15,17.051459
26.0,28,17.134496
-498.0,1,17.138495
49.0,27,17.210344
-18.0,21,17.271877
89.0,22,17.333403
-71.0,47,17.455967
-14.0,10,17.479486
59.0,12,17.522514
-38.0,31,17.60256
14.0,7,17.623571
6.0,3,17.635581
-494.0,8,17.665601
-530.0,25,17.731622
-10.0,30,17.810225
-489.0,8,17.834745
-494.0,3,17.843246
7.0,11,17.883772
9.0,7,17.901278
-201.0,92,18.157625
6.0,3,18.166637
20.0,50,18.305227
