#{"t_start": 1732605357.1257956, "env_id": "p3_Env-v0"}
r,l,t
-771.0,100,1.35473
-763.0,100,1.439732
-50.0,8,1.446237
-777.0,100,1.538242
-786.0,100,1.630751
-746.0,100,1.709259
-771.0,100,1.789773
-40.0,6,1.794774
-781.0,100,1.876286
-781.0,100,1.9548
-53.0,9,1.987059
-29.0,1,1.99006
-258.0,100,2.103566
-26.0,4,2.109566
-24.0,4,2.117567
-44.0,6,2.128576
-281.0,94,2.239089
-180.0,54,2.301596
-217.0,65,2.385107
-35.0,3,2.392107
-85.0,23,2.426107
-92.0,42,2.475633
-272.0,100,2.60514
-113.0,56,2.676871
-241.0,100,2.802385
-323.0,100,2.936905
-29.0,1,2.939904
-187.0,57,3.009416
-336.0,100,3.136937
-66.0,16,3.15828
-111.0,35,3.201281
-138.0,31,3.276764
-39.0,7,3.288764
-149.0,41,3.341769
-41.0,9,3.356849
-33.0,5,3.366849
-69.0,23,3.393848
-84.0,26,3.426848
23.0,23,3.455359
-21.0,31,3.494359
-260.0,100,3.622873
-30.0,4,3.630877
-134.0,57,3.699387
-55.0,17,3.726383
-29.0,1,3.729385
-129.0,36,3.778895
-127.0,36,3.826895
-38.0,4,3.834898
-269.0,100,3.951694
-37.0,17,3.973695
-264.0,78,4.06621
-272.0,82,4.16447
-26.0,31,4.20247
-68.0,26,4.233481
-62.0,12,4.251984
-220.0,75,4.346495
-164.0,53,4.423496
-267.0,100,4.542513
-146.0,41,4.610517
-67.0,23,9.775413
-192.0,63,9.855925
-298.0,100,9.98245
-233.0,62,10.067962
-356.0,100,10.203488
-127.0,39,10.254998
-65.0,17,10.275998
39.0,3,10.283
-75.0,19,10.313999
-190.0,77,10.405514
-191.0,71,10.488023
-32.0,2,10.493023
-259.0,69,10.576535
-315.0,100,10.697048
-166.0,68,10.781559
-360.0,100,10.904282
-28.0,2,10.908281
-37.0,30,10.943789
-345.0,100,11.097885
-200.0,78,11.195393
-33.0,2,11.200393
-172.0,42,11.249912
-276.0,100,11.364425
-39.0,8,11.378423
-123.0,28,11.414422
-30.0,5,11.422421
-337.0,100,11.542936
-64.0,12,11.561443
-165.0,60,11.640444
-108.0,43,11.693957
-320.0,100,11.812468
-321.0,100,11.950511
-308.0,100,12.064023
-227.0,75,12.147079
-288.0,100,12.299803
-103.0,51,12.361314
-272.0,82,17.062801
-298.0,100,17.176317
-290.0,100,17.300826
-43.0,11,17.314829
-32.0,6,17.324829
-175.0,62,17.41285
-80.0,20,17.437856
-29.0,1,17.440856
-43.0,7,17.451364
-112.0,36,17.496367
-332.0,83,17.595877
-186.0,52,17.660516
-332.0,100,17.788028
-27.0,3,17.794027
-330.0,100,17.915289
-192.0,100,18.028801
-83.0,31,18.070319
-178.0,56,18.163835
-25.0,11,18.180832
-134.0,33,18.219833
-67.0,19,18.242837
-75.0,25,18.284345
41.0,1,18.288344
-308.0,81,18.378856
33.0,9,18.394856
38.0,3,18.400856
-290.0,100,18.517374
-332.0,100,18.635425
-191.0,70,18.714933
-29.0,1,18.717932
-38.0,8,18.731937
-260.0,100,18.845452
28.0,5,18.854756
-43.0,6,18.862756
-35.0,29,18.905758
-29.0,5,18.914758
-89.0,16,18.938429
-217.0,89,19.044947
-145.0,49,19.104458
-331.0,100,19.222744
-316.0,100,19.343263
-336.0,100,19.487812
-271.0,100,24.472281
29.0,9,24.48428
-169.0,47,24.542289
-131.0,28,24.579803
-64.0,28,24.614805
-291.0,100,24.74232
-280.0,100,24.855348
-294.0,100,24.974854
-121.0,33,25.020854
-121.0,82,25.124373
-154.0,50,25.182886
-114.0,26,25.219886
-118.0,41,25.2724
-318.0,100,25.396911
-58.0,34,25.437916
-31.0,7,25.449423
-152.0,50,25.521423
-65.0,13,25.543434
-299.0,100,25.661813
-199.0,68,25.747818
5.0,18,25.770331
-48.0,10,25.783329
-39.0,20,25.808328
-148.0,39,25.859044
-321.0,100,25.990552
-382.0,100,26.106064
-303.0,100,26.219577
-108.0,27,26.260101
-91.0,58,26.330099
-38.0,8,26.342103
-49.0,16,26.366612
-73.0,17,26.38961
-114.0,37,26.434617
-43.0,10,26.451124
-314.0,88,26.552635
38.0,10,26.565635
-30.0,4,26.572635
-170.0,62,26.652149
-57.0,17,26.677151
-29.0,1,26.681151
-328.0,100,26.805662
-291.0,100,26.931174
-291.0,88,31.960019
-277.0,100,32.082532
-111.0,43,32.135532
-301.0,100,32.269241
-222.0,68,32.357309
-214.0,95,32.465833
-215.0,50,32.525833
-272.0,92,32.634533
-185.0,56,32.711046
-149.0,60,32.786566
-27.0,3,32.792568
-28.0,18,32.815566
-69.0,14,32.835566
-336.0,100,32.964593
-40.0,14,32.982597
-254.0,78,33.088786
-304.0,100,33.213304
-2.0,6,33.224302
-86.0,28,33.260814
-47.0,6,33.271815
-275.0,100,33.397333
-278.0,100,33.533851
