#{"t_start": 1731894770.242992, "env_id": "p3_Env-v0"}
r,l,t
-758.0,100,2.157385
-47.0,7,2.167386
-343.0,100,2.345636
-761.0,100,2.519637
-761.0,100,2.689882
-786.0,100,2.860882
-771.0,100,3.051111
-767.0,100,3.218602
-736.0,100,3.381374
-749.0,100,3.547488
-341.0,95,3.817353
71.0,1,3.822353
-154.0,46,3.927286
-47.0,15,3.969891
-277.0,100,4.174425
-173.0,59,4.32617
-304.0,100,4.557436
-234.0,65,4.702925
-240.0,62,4.849001
-170.0,40,4.944417
-349.0,100,5.177593
-323.0,100,5.418969
22.0,28,5.48317
1.0,32,5.56017
-172.0,42,5.670794
-78.0,16,5.709932
-28.0,2,5.717933
-46.0,12,5.749933
-258.0,100,6.040587
-38.0,4,6.050587
-9.0,6,6.066588
-24.0,13,6.095587
-276.0,100,6.314955
-78.0,24,6.366971
-301.0,100,6.594484
-136.0,36,6.679485
-314.0,100,6.905722
-328.0,100,7.120446
-298.0,100,7.354436
-41.0,22,7.408728
-239.0,78,7.591453
-100.0,34,7.668945
-311.0,100,7.896291
-154.0,47,8.012636
-47.0,11,8.044636
-29.0,1,8.049636
-29.0,1,8.055636
-31.0,3,8.063636
-178.0,45,8.17419
-37.0,5,8.194657
-56.0,37,8.292703
-50.0,8,8.313704
-139.0,45,8.451344
-339.0,100,13.697821
-244.0,87,13.920617
-205.0,68,14.098594
-26.0,12,14.135767
-278.0,100,14.401212
-48.0,31,14.481628
-148.0,34,14.570629
-159.0,46,14.697053
-179.0,55,14.861387
-107.0,35,14.962639
-124.0,51,15.07248
-87.0,43,15.15948
-261.0,82,15.339415
-133.0,29,15.436183
-105.0,39,15.534365
-74.0,11,15.567414
-312.0,100,15.835605
-237.0,66,16.043664
-344.0,85,16.250407
-100.0,30,16.325689
-319.0,94,16.571663
-116.0,50,16.703481
-177.0,53,16.827141
69.0,11,16.858141
-95.0,24,16.917141
-112.0,32,16.980191
-84.0,25,17.033221
-74.0,16,17.078221
-184.0,84,17.275603
-248.0,100,17.520559
-8.0,17,17.567691
-41.0,7,17.588692
-63.0,12,17.626691
-99.0,42,17.745858
-301.0,100,17.995472
-149.0,32,18.078167
-236.0,74,18.270119
-33.0,5,18.28612
14.0,15,18.328024
-268.0,100,18.631281
-34.0,4,18.643281
-54.0,12,18.674281
-27.0,3,18.684484
-255.0,72,23.746588
-136.0,50,23.882389
36.0,20,23.937393
-32.0,2,23.945393
-33.0,5,23.964393
-97.0,21,24.020901
-286.0,100,24.275469
-102.0,25,24.338639
-137.0,45,24.450341
-48.0,10,24.478458
-288.0,99,24.713767
-73.0,18,24.760871
-48.0,18,24.809872
-286.0,100,25.077553
44.0,12,25.109709
-269.0,100,25.366424
38.0,12,25.398423
-41.0,39,25.506423
-345.0,100,25.766133
-318.0,96,26.014683
-30.0,8,26.095784
-255.0,73,26.294909
-262.0,100,26.547545
-309.0,100,26.8234
-33.0,5,26.8394
-100.0,26,26.903479
-154.0,57,27.042532
-172.0,48,27.160248
-30.0,4,27.172412
-344.0,95,27.414134
-64.0,15,27.463202
-52.0,14,27.501203
-101.0,25,27.568202
-290.0,100,27.835111
-73.0,18,27.89157
-121.0,65,28.06036
-77.0,21,28.120599
-258.0,64,28.283735
-205.0,75,28.48912
-87.0,27,28.56612
-41.0,5,28.57912
-335.0,100,28.89081
-247.0,70,29.069146
-57.0,13,29.105438
-175.0,47,34.007743
-88.0,30,34.095702
-88.0,27,34.161702
-104.0,31,34.243019
-158.0,50,34.370019
-108.0,30,34.447672
-243.0,75,34.634136
-146.0,42,34.746355
-213.0,50,34.871559
-51.0,15,34.908558
-57.0,19,34.95758
-18.0,8,34.979948
-53.0,8,35.002947
-78.0,17,35.047147
-58.0,14,35.093147
-44.0,7,35.113576
-334.0,100,35.372548
-179.0,64,35.535167
-40.0,6,35.552168
-258.0,100,35.800134
-31.0,3,35.810134
-49.0,18,35.861324
-234.0,87,36.077739
-84.0,20,36.134739
-146.0,40,36.327868
-216.0,58,36.48871
24.0,28,36.561919
-87.0,21,36.617918
-35.0,3,36.627918
-70.0,20,36.680113
