#{"t_start": 1731722532.3443577, "env_id": "p3_Env-v0"}
r,l,t
53.0,13,1.890872
43.0,3,1.898952
45.0,9,1.925471
-5.0,15,1.966864
8.0,13,1.999658
42.0,2,2.004678
45.0,13,2.042121
57.0,21,2.095848
3.0,17,2.141756
44.0,4,2.154142
57.0,21,2.220545
53.0,21,2.291725
-2.0,18,2.352803
8.0,8,2.378611
43.0,3,2.38888
44.0,13,2.429762
41.0,13,2.474109
0.0,14,2.521595
44.0,4,2.532663
55.0,15,2.583072
50.0,10,2.617869
-15.0,13,2.651756
-1.0,11,2.680837
47.0,11,2.707582
40.0,16,2.748932
45.0,9,2.771945
-10.0,4,2.785962
40.0,4,2.795529
44.0,8,2.816691
41.0,1,2.81969
-20.0,8,2.841779
5.0,9,2.863054
44.0,16,2.902596
49.0,13,2.934713
36.0,12,2.964231
1.0,11,2.994049
46.0,6,3.011236
51.0,11,3.041973
44.0,4,3.051993
-7.0,13,3.084684
3.0,15,3.122844
48.0,8,3.142371
46.0,6,3.157032
45.0,13,3.189811
0.0,14,3.225647
50.0,10,3.25182
52.0,12,3.282946
45.0,5,3.298038
-26.0,4,3.310203
6.0,14,3.346945
43.0,3,3.354945
47.0,7,3.372077
53.0,13,3.406816
2.0,12,3.438739
50.0,14,3.475764
50.0,14,3.510142
44.0,4,3.520647
-8.0,12,3.55285
5.0,13,3.585603
55.0,15,3.624897
49.0,9,3.650616
52.0,12,3.682904
-7.0,3,3.689937
48.0,12,3.721639
-27.0,3,3.728647
55.0,15,3.766851
-17.0,15,3.803893
3.0,11,3.831245
-25.0,5,3.843751
45.0,5,3.855846
51.0,11,3.886863
-26.0,4,3.896928
39.0,11,3.924489
44.0,8,3.947165
46.0,10,3.972742
-6.0,14,4.006976
3.0,3,4.016998
50.0,10,4.042732
47.0,11,4.072531
53.0,17,4.133807
-6.0,8,4.162889
-29.0,1,4.164889
46.0,11,4.195994
48.0,8,4.21307
-14.0,6,4.226637
23.0,23,4.280867
45.0,5,4.293408
43.0,7,4.320747
51.0,19,4.371735
-21.0,9,4.394161
36.0,8,4.418678
42.0,6,4.434798
48.0,8,4.456873
-17.0,7,4.481515
3.0,3,4.49102
47.0,11,4.519785
47.0,11,4.54813
42.0,6,4.564264
-28.0,2,4.570772
42.0,14,4.607413
48.0,8,4.629183
54.0,14,4.665036
-17.0,12,4.698137
4.0,4,4.707173
42.0,6,4.724683
40.0,20,4.777313
62.0,22,4.829949
-29.0,1,4.832949
56.0,16,4.872764
57.0,17,4.922994
52.0,12,4.956906
-6.0,18,5.002217
-3.0,17,5.044075
35.0,7,5.064275
41.0,13,5.100117
40.0,12,5.13264
3.0,13,5.166748
52.0,12,5.201313
43.0,11,5.232888
44.0,8,5.253256
-10.0,10,5.278927
4.0,4,5.289438
55.0,19,5.338789
59.0,19,5.389964
41.0,1,5.391965
-4.0,6,5.408133
43.0,7,5.426772
-26.0,4,5.436885
37.0,21,5.488252
-15.0,9,5.509313
1.0,9,5.533326
54.0,14,5.571872
50.0,10,5.595777
38.0,10,5.622797
-8.0,2,5.629854
43.0,3,5.638362
37.0,21,5.689818
47.0,11,5.718078
-13.0,7,5.735812
8.0,12,5.767404
41.0,9,5.789925
44.0,4,5.804187
45.0,5,5.822246
-2.0,12,5.850919
-26.0,4,5.861017
-24.0,6,5.877746
54.0,14,5.913625
-14.0,6,5.928236
12.0,16,5.968863
49.0,9,5.991158
46.0,10,6.016303
47.0,7,6.032812
-7.0,7,6.049954
53.0,13,6.085874
-26.0,4,6.094877
40.0,4,6.103936
-18.0,2,6.107995
3.0,3,6.115948
42.0,6,6.133461
46.0,6,6.145966
-23.0,7,6.162059
-2.0,12,6.19417
44.0,8,6.213349
53.0,13,6.24695
52.0,12,6.277155
-15.0,17,6.317886
10.0,22,6.373194
43.0,3,6.381232
35.0,15,6.429101
43.0,7,6.445221
0.0,10,6.47004
62.0,22,6.522493
42.0,2,6.527999
44.0,8,6.5491
-19.0,1,6.5511
7.0,11,6.579833
-23.0,7,6.597047
53.0,17,6.643076
61.0,21,6.692346
-7.0,7,6.710007
52.0,20,6.762491
55.0,15,6.803592
-27.0,3,6.811114
-23.0,5,6.828319
4.0,12,6.862154
37.0,5,6.874187
45.0,5,6.886811
52.0,12,6.921993
-11.0,7,6.94008
46.0,6,6.955119
35.0,19,7.006074
-27.0,3,7.014863
-12.0,8,7.033361
-1.0,3,7.040865
47.0,7,7.059118
50.0,10,7.08436
46.0,6,7.098924
-1.0,9,7.121119
57.0,17,7.162874
45.0,9,7.185977
41.0,1,7.189011
-9.0,11,7.214553
-27.0,3,7.222061
49.0,13,7.254223
49.0,9,7.276879
47.0,7,7.295176
-3.0,11,7.322921
47.0,7,7.33899
50.0,10,7.365105
49.0,9,7.387856
-25.0,5,7.400052
5.0,9,7.423106
47.0,7,7.44131
44.0,4,7.452413
50.0,10,7.476929
-10.0,8,7.498157
51.0,11,7.523824
52.0,12,7.557215
47.0,7,7.574354
-8.0,12,7.603286
8.0,8,7.633627
47.0,7,7.652199
49.0,9,7.676214
48.0,12,7.710163
-1.0,9,7.737252
54.0,14,7.769904
44.0,4,7.779948
41.0,13,7.81237
-29.0,1,7.815372
10.0,18,7.86007
56.0,16,7.902315
46.0,10,7.930048
45.0,5,7.941095
4.0,14,7.977128
43.0,11,8.00521
49.0,9,8.025945
49.0,13,8.060159
-10.0,10,8.088241
3.0,3,8.096241
46.0,6,8.113529
48.0,12,8.145113
57.0,17,8.189449
-4.0,6,8.206512
44.0,4,8.219088
53.0,13,8.252293
35.0,19,8.303692
-12.0,12,8.335963
7.0,11,8.366184
43.0,7,8.384536
-28.0,2,8.391041
48.0,12,8.422076
-8.0,10,8.449409
45.0,13,8.484257
53.0,21,8.537424
45.0,13,8.572143
-10.0,10,8.600106
4.0,8,8.621315
43.0,3,8.629539
49.0,9,8.654063
48.0,12,8.685227
-5.0,5,8.696254
53.0,13,8.731958
46.0,6,8.745079
40.0,4,8.758353
-5.0,15,8.801287
11.0,15,8.841057
44.0,4,8.852125
50.0,14,8.893264
48.0,8,8.914562
-15.0,31,8.99424
48.0,8,9.014444
47.0,15,9.059565
47.0,11,9.100913
-12.0,8,9.121656
4.0,9,9.143265
59.0,23,9.207722
55.0,15,9.254482
51.0,16,9.303071
0.0,10,9.334242
43.0,7,9.354578
39.0,11,9.390307
52.0,12,9.426335
-15.0,5,9.441474
5.0,9,9.468075
46.0,6,9.484165
-29.0,1,9.486165
45.0,5,9.502413
-4.0,6,9.518538
46.0,6,9.536042
-28.0,2,9.542068
45.0,13,9.577224
-26.0,4,9.586223
1.0,1,9.58926
43.0,3,9.599451
45.0,13,9.635997
33.0,13,9.671257
-7.0,3,9.680484
46.0,6,9.69609
56.0,20,9.752007
42.0,2,9.757085
-12.0,8,9.782242
4.0,4,9.793319
42.0,2,9.79933
46.0,10,9.825124
46.0,6,9.843197
-4.0,6,9.860385
47.0,11,9.895457
57.0,17,9.946317
-27.0,3,9.953449
-9.0,11,9.987457
6.0,6,10.003504
52.0,12,10.039403
47.0,7,10.058816
41.0,13,10.100171
4.0,14,10.139121
43.0,7,10.163141
51.0,11,10.194639
44.0,13,10.231765
-19.0,13,10.268213
21.0,21,10.333271
51.0,15,10.379181
48.0,12,10.409476
42.0,2,10.417207
-18.0,8,10.44038
51.0,11,10.469929
61.0,21,10.531291
56.0,20,10.591133
-7.0,13,10.638397
6.0,11,10.673082
46.0,6,10.691574
53.0,17,10.744226
44.0,4,10.755457
-5.0,5,10.771788
48.0,8,10.79334
46.0,6,10.812675
54.0,14,10.850606
-26.0,4,10.865113
0.0,4,10.875164
39.0,11,10.906543
47.0,11,10.938356
41.0,5,10.954412
-7.0,3,10.966473
55.0,15,11.008569
43.0,11,11.038056
49.0,9,11.066129
-12.0,12,11.106508
4.0,4,11.118621
46.0,14,11.166394
47.0,11,11.196166
23.0,11,11.222248
-1.0,9,11.247566
41.0,5,11.261593
43.0,7,11.28016
49.0,9,11.309235
-19.0,1,11.311736
5.0,5,11.327404
43.0,3,11.334593
42.0,2,11.339683
46.0,10,11.372343
